state,year,quarter,suppression_used,total_prescriptions
tx,2017,1,TRUE,0
tx,2017,2,FALSE,563
tx,2017,2,TRUE,0
tx,2017,3,FALSE,594
tx,2017,3,TRUE,0
tx,2017,4,FALSE,589
tx,2017,4,TRUE,0
tx,2018,1,FALSE,560
tx,2018,1,TRUE,0
tx,2018,2,FALSE,573
tx,2018,2,TRUE,0
tx,2018,3,FALSE,563
tx,2018,3,TRUE,0
tx,2018,4,FALSE,583
tx,2018,4,TRUE,0
tx,2019,1,FALSE,564
tx,2019,1,TRUE,0
tx,2019,2,FALSE,527
tx,2019,2,TRUE,0
tx,2019,3,FALSE,369
tx,2019,4,FALSE,372
tx,2019,4,TRUE,0
tx,2020,1,NA,397
ut,2017,1,FALSE,39
ut,2017,1,TRUE,0
ut,2017,2,FALSE,39
ut,2017,2,TRUE,0
ut,2017,3,FALSE,19
ut,2017,3,TRUE,0
ut,2017,4,FALSE,19
ut,2017,4,TRUE,0
ut,2018,1,FALSE,37
ut,2018,1,TRUE,0
ut,2018,2,FALSE,34
ut,2018,2,TRUE,0
ut,2018,3,FALSE,25
ut,2018,3,TRUE,0
ut,2018,4,FALSE,43
ut,2018,4,TRUE,0
ut,2019,1,FALSE,19
ut,2019,1,TRUE,0
ut,2019,2,FALSE,24
ut,2019,2,TRUE,0
ut,2019,3,TRUE,0
ut,2019,4,TRUE,0
ut,2020,1,NA,14
va,2017,1,FALSE,295
va,2017,1,TRUE,0
va,2017,2,FALSE,292
va,2017,2,TRUE,0
va,2017,3,FALSE,305
va,2017,3,TRUE,0
va,2017,4,FALSE,297
va,2017,4,TRUE,0
va,2018,1,FALSE,310
va,2018,1,TRUE,0
va,2018,2,FALSE,250
va,2018,2,TRUE,0
va,2018,3,FALSE,279
va,2018,3,TRUE,0
va,2018,4,FALSE,282
va,2018,4,TRUE,0
va,2019,1,FALSE,338
va,2019,1,TRUE,0
va,2019,2,FALSE,280
va,2019,2,TRUE,0
va,2019,3,FALSE,266
va,2019,3,TRUE,0
va,2019,4,FALSE,300
va,2019,4,TRUE,0
va,2020,1,NA,257
